"نام محصول","URL محصول"
"روتر بی‌سیم دو بانده تی‌پی-لینک TP-Link Archer C80 AC1900",https://royaldigi.ir/product/tp-link-archer-c80/
"روتر بی‌سیم دو بانده تی‌پی-لینک TP-Link Archer C50 AC1200",https://royaldigi.ir/product/tp-link-archer-c50/
"روتر بی‌سیم دو بانده تی‌پی-لینک TP-Link Archer C60 V3 AC1350",https://royaldigi.ir/product/tp-link-archer-c60-v3/
"روتر بی‌سیم دو بانده تی‌پی-لینک TP-Link Archer AX23 AX1800",https://royaldigi.ir/product/tp-link-archer-ax23/
"روتر بی‌سیم تک بانده تی‌پی-لینک TP-Link TL-WR941ND",https://royaldigi.ir/product/tp-link-tl-wr941nd/
"اکسس پوینت و تقویت‌کننده بی‌سیم دو بانده تی‌پی‌لینک TP-Link TL-WA1201 AC1200",https://royaldigi.ir/product/tp-link-tl-wa1201/
"روتر بی‌سیم دو بانده تی‌پی-لینک TP-Link Archer C60 AC1350",https://royaldigi.ir/product/tp-link-archer-c60/
"مودم روتر رومیزی 5G وای‌فای 6 زد تی ای ZTE MC801A",https://royaldigi.ir/product/zte-mc801a/
"کارت شبکه USB بی‌سیم تی‌پی-لینک TP-Link TL-WN822N N300",https://royaldigi.ir/product/tp-link-tl-wn822n/
"مودم فضای باز 4G LTE FDD یوتل UTEL OLF4 N300",https://royaldigi.ir/product/utel-olf4/
"مودم روتر ADSL2+ وای‌فای 4 دی‌-لینک D-Link DSL-124 N300",https://royaldigi.ir/product/d-link-dsl-124/
"مودم روتر 5G وای‌فای 6 دی‌-لینک D-Link DWR-2000M AX3000",https://royaldigi.ir/product/d-link-dwr-2000m/
"اکسس پوینت و تقویت‌کننده بی‌سیم تک بانده دی‌-لینک D-Link DAP-1360 N300",https://royaldigi.ir/product/d-link-dap-1360/
"مودم همراه و رومیزی 4G LTE وای‌فای 6 نزتک Naztech HOPE Cat 4",https://royaldigi.ir/product/naztech-hope/
"روتر بی‌سیم دو بانده هواوی Huawei WiFi AX2 AX1500",https://royaldigi.ir/product/huawei-wifi-ax2/
"مودم روتر 4G/TD-LTE وای‌فای 5 ایرانسل Irancell TF-i120 B1",https://royaldigi.ir/product/irancell-tf-i120-b1/
